left_foot_pressure,right_foot_pressure,core_stability
0.4841551231855105,0.4841551231855105,0.9941596298545343
0.4809307665485298,0.4809307665485298,0.9433054352442809
0.5226756057398236,0.5226756057398236,0.9365442355470606
0.48046963400862897,0.48046963400862897,0.9118006140149661
0.455296640560971,0.455296640560971,0.8251884832705045
0.4873617772310308,0.4873617772310308,0.837847062189854
0.5221465600358349,0.5221465600358349,0.8578939377345073
0.48269584202701765,0.48269584202701765,0.9780312725146789
0.5129559055995146,0.5129559055995146,0.834593904920615
0.516011944426313,0.516011944426313,0.9845746348975781
0.5233736011726356,0.5233736011726356,0.9045571466102834
0.5397130466310937,0.5397130466310937,0.9431139270946145
0.49325644992684314,0.49325644992684314,0.8220488973361133
0.46664320766624573,0.46664320766624573,0.8538067097551822
0.481892571543189,0.481892571543189,0.9917037216362853
0.4932167255173986,0.4932167255173986,0.8532299893859463
0.5213891469328114,0.5213891469328114,0.8593043440782293
0.4513122125561634,0.4513122125561634,0.8395194769682159
0.4815785383439879,0.4815785383439879,0.825814733061366
0.5279842581019317,0.5279842581019317,0.8466515282907996
0.5170857703330696,0.5170857703330696,0.9284653783901597
0.5231739973585605,0.5231739973585605,0.8910735467007127
0.5311810769439195,0.5311810769439195,0.9107511672675798
0.5283235718877962,0.5283235718877962,0.824472965753205
0.5182183166152778,0.5182183166152778,0.96042328943258
0.49396615323705906,0.49396615323705906,0.9568189401159696
0.5483598328878154,0.5483598328878154,0.8043179822285351
0.5069073195590074,0.5069073195590074,0.876703018902061
0.47027692093688395,0.47027692093688395,0.8137541203942296
0.47928128551047844,0.47928128551047844,0.9584211558829916
0.5193562455970471,0.5193562455970471,0.9474539366251409
0.5424739565199463,0.5424739565199463,0.9803976188586312
0.4678720129205898,0.4678720129205898,0.847280791790623
0.45823464957457866,0.45823464957457866,0.8912591766255598
0.5381531048042006,0.5381531048042006,0.8368975754328796
0.5415277978912835,0.5415277978912835,0.8742469868948239
0.47763793453159,0.47763793453159,0.9044486503133768
0.48772857243712403,0.48772857243712403,0.8106661579677178
0.5160187997497858,0.5160187997497858,0.9429740821354771
0.4829930020842475,0.4829930020842475,0.908658672074215
0.5377158708270053,0.5377158708270053,0.9657918034421347
0.46075787027138626,0.46075787027138626,0.8543561002382395
0.45379822209601955,0.45379822209601955,0.9806642210538509
